City,Neighbourhood,Restaurant,Weekday,StartTime,EndTime,Description,Price,Cuisine,Last Updated
York Region,Aurora,Plates and Bowls,Monday,10:00,20:00,Chicken Caesar Wraps,$7.99 ,Indian,2-Aug-25
York Region,Aurora,Plates and Bowls,Tuesday,10:00,20:00,Butter Chicken Rice,$7.99 ,Indian,2-Aug-25
York Region,Aurora,Plates and Bowls,Wednesday,10:00,20:00,Chicken Shish Kabob Rice,$7.99 ,Indian,2-Aug-25
York Region,Aurora,Plates and Bowls,Thursday,10:00,20:00,Veggie Curry Rice,$6.99 ,Indian,2-Aug-25
York Region,Aurora,Plates and Bowls,Friday,10:00,20:00,Chicken Biryani Rice,$7.99 ,Indian,2-Aug-25
York Region,Aurora,Plates and Bowls,Saturday,10:00,20:00,Tandoori Chicken Shawarma Rice,$7.99 ,Indian,2-Aug-25
York Region,Aurora,Plates and Bowls,Sunday,10:00,20:00,Four Samosas,$2.99 ,Indian,2-Aug-25
York Region,Richmond Hill,Cotti Coffee,Monday,10:00,20:00,Matcha Oat Latte,$3.99 ,Coffee,2-Aug-25
York Region,Richmond Hill,Cotti Coffee,Tuesday,10:00,20:00,Orange Americano,$3.99 ,Coffee,2-Aug-25
York Region,Richmond Hill,Cotti Coffee,Wednesday,10:00,20:00,Brown Sugar Oolong Oat Café,$3.99 ,Coffee,2-Aug-25
York Region,Richmond Hill,Cotti Coffee,Thursday,10:00,20:00,Mango Pomelo Delight,$3.99 ,Coffee,2-Aug-25
York Region,Richmond Hill,Cotti Coffee,Friday,10:00,20:00,Cloud Mousse Strawberry Crème Jasmine Latte,$3.99 ,Coffee,2-Aug-25
York Region,Richmond Hill,Cotti Coffee,Saturday,10:00,20:00,Sea Salt Caramel Oat Macchiato,$3.99 ,Coffee,2-Aug-25
York Region,Richmond Hill,Cotti Coffee,Sunday,10:00,20:00,Stardust Oolong Milk Tea,$3.99 ,Coffee,2-Aug-25
York Region,Richmond Hill,O Street,Monday,14:30,17:00,Afternoon Tea - Meal plus Hot Drink,$12.99 ,Chinese,2-Aug-25
York Region,Richmond Hill,O Street,Tuesday,14:30,17:00,Afternoon Tea - Meal plus Hot Drink,$12.99 ,Chinese,2-Aug-25
York Region,Richmond Hill,O Street,Wednesday,14:30,17:00,Afternoon Tea - Meal plus Hot Drink,$12.99 ,Chinese,2-Aug-25
York Region,Richmond Hill,O Street,Thursday,14:30,17:00,Afternoon Tea - Meal plus Hot Drink,$12.99 ,Chinese,2-Aug-25
